id,taxonomy,store,name,price,price_unit,quantity,image_url,description,out_of_stock
items_19456-66818553,Acorn squash,Sprouts Farmers Market,Organic Acorn Squash,$2.98,,1 lb,https://d2lnr5mha7bycj.cloudfront.net/product-image/file/large_1927dd1b-0efe-44e6-a4fd-073df5bc6bed.png,,False
items_19456-16621864,Acorn squash,Sprouts Farmers Market,Organic Butternut Squash,$5.61,,,https://d2lnr5mha7bycj.cloudfront.net/product-image/file/large_198a064b-8068-43a7-84de-cfbab926ba9d.png,,False
items_19456-18356604,Acorn squash,Sprouts Farmers Market,Sprouts Organic Butternut Squash,$3.99,,15 oz,https://d2lnr5mha7bycj.cloudfront.net/product-image/file/large_01d6f329-8a9d-4a10-9530-e11e9fd02229.png,"Sprouts Farmers Market Organic Butternut Squash Comes Ready To Eat Right Out Of The Container For A Delicious And Healthy Addition To Meals. Add This Squash To Fresh Salads For A Burst Of Color And Flavor, Or Steam It For A Standalone Side Dish. Already Cut And Peeled, This Product Makes Meal Prep Easy, Whether You Are Cooking Up A Savory Soup Or A Roasted Vegetable Medley. Each 15 Oz. Container Yields Approximately Five Individual Servings.",False
items_19456-16621856,Acorn squash,Sprouts Farmers Market,Yellow Squash,$1.03,,,https://d2lnr5mha7bycj.cloudfront.net/product-image/file/large_7dd3d9a4-b89e-4274-9711-09ad88cf01be.png,,False
items_19456-16617015,Acorn squash,Sprouts Farmers Market,Organic Honeynut Squash,$4.01,,,https://d2lnr5mha7bycj.cloudfront.net/product-image/file/large_e70a33c5-aaf3-447e-9c32-d5edddf3e0ab.png,,False
items_19456-16596919,Acorn squash,Sprouts Farmers Market,Zucchini Squash,$1.01,,,https://d2lnr5mha7bycj.cloudfront.net/product-image/file/large_754a9eb0-46bd-4ec6-9061-2e4c7ef383d5.png,,False
items_19456-16546808,Acorn squash,Sprouts Farmers Market,Organic Yellow Squash,$1.24,,,https://d2lnr5mha7bycj.cloudfront.net/product-image/file/large_e4b7e0c0-aa24-4388-a34d-2fbba190dcbc.png,,False
items_19456-20070642,Acorn squash,Sprouts Farmers Market,Chayote Squash,$1.99,,,https://d2lnr5mha7bycj.cloudfront.net/product-image/file/large_83e8dd11-e4bc-4aa2-91a9-56a0f7671189.png,,False
items_19456-3314481,Acorn squash,Sprouts Farmers Market,Organic Spaghetti Squash,$6.09,,,https://d2lnr5mha7bycj.cloudfront.net/product-image/file/large_f52bc8f3-b8fd-4906-8a92-40ca9d6e4d84.png,,False
items_19456-26189074,Acorn squash,Sprouts Farmers Market,Sprouts Organic Butternut Squash,$3.99,,12 oz,https://d2lnr5mha7bycj.cloudfront.net/product-image/file/large_bc3f1a9d-8641-4c2a-b097-cf8d9857ac88.png,Organic Butternut Squash. Good source of Vitamin C. Non-GMO verified. USDA organic. Great addition to yogurts and smoothies.,False
