id,name,path
"976759","Food","Food"
"976759_2606229","@ Manual Shelves - Food","Food/@ Manual Shelves - Food"
"976759_2606229_8375512","$1 Food staples","Food/@ Manual Shelves - Food/$1 Food staples"
"976759_2606229_4353203","Almond Flour","Food/@ Manual Shelves - Food/Almond Flour"
"976759_2606229_2387675","Food Total Deals","Food/@ Manual Shelves - Food/Food Total Deals"
"976759_2606229_2958467","General Mills Box Tops Cereal","Food/@ Manual Shelves - Food/General Mills Box Tops Cereal"
"976759_2606229_3643082","General Mills Box Tops Dairy","Food/@ Manual Shelves - Food/General Mills Box Tops Dairy"
"976759_2606229_6093697","General Mills Box Tops Frozen","Food/@ Manual Shelves - Food/General Mills Box Tops Frozen"
"976759_2606229_8503205","General Mills Box Tops Meals","Food/@ Manual Shelves - Food/General Mills Box Tops Meals"
"976759_2606229_2412525","General Mills Box Tops Natural & Organic","Food/@ Manual Shelves - Food/General Mills Box Tops Natural & Organic"
"976759_2606229_3345098","General Mills Box Tops School Supplies","Food/@ Manual Shelves - Food/General Mills Box Tops School Supplies"
"976759_2606229_3638396","General Mills Box Tops Snacks","Food/@ Manual Shelves - Food/General Mills Box Tops Snacks"
"976759_2606229_7979437","General Mills Box Tops Water","Food/@ Manual Shelves - Food/General Mills Box Tops Water"
"976759_2606229_2161613","General Mills Fight Hunger","Food/@ Manual Shelves - Food/General Mills Fight Hunger"
"976759_2606229_2043501","General Mills Snacks","Food/@ Manual Shelves - Food/General Mills Snacks"
"976759_2606229_6420550","General Mills Treat Bars","Food/@ Manual Shelves - Food/General Mills Treat Bars"
"976759_2606229_5358210","GM090419","Food/@ Manual Shelves - Food/GM090419"
"976759_2606229_9723046","Hershey Baking","Food/@ Manual Shelves - Food/Hershey Baking"
"976759_2606229_1992604","Hershey Holiday","Food/@ Manual Shelves - Food/Hershey Holiday"
"976759_2606229_7458550","KC Masterpiece","Food/@ Manual Shelves - Food/KC Masterpiece"
"976759_2606229_4002011","Kellogg's Cereal","Food/@ Manual Shelves - Food/Kellogg's Cereal"
"976759_2606229_6912549","Kellogg's Nutri-Grain","Food/@ Manual Shelves - Food/Kellogg's Nutri-Grain"
"976759_2606229_6496189","Kellogg's PWS Brand Amplifier","Food/@ Manual Shelves - Food/Kellogg's PWS Brand Amplifier"
"976759_2606229_7285783","Kellogg's Rice Krispies Treats","Food/@ Manual Shelves - Food/Kellogg's Rice Krispies Treats"
"976759_2606229_6229293","Kit Kat Duo","Food/@ Manual Shelves - Food/Kit Kat Duo"
"976759_2606229_6952411","Local Finds","Food/@ Manual Shelves - Food/Local Finds"
"976759_2606229_2061744","Mosaic Beverages","Food/@ Manual Shelves - Food/Mosaic Beverages"
"976759_2606229_4445124","Mosaic Coffee Tea","Food/@ Manual Shelves - Food/Mosaic Coffee Tea"
"976759_2606229_4068629","Mosaic Food","Food/@ Manual Shelves - Food/Mosaic Food"
"976759_2606229_3339994","Mosaic Pantry","Food/@ Manual Shelves - Food/Mosaic Pantry"
"976759_2606229_6309744","Mosaic Snacks","Food/@ Manual Shelves - Food/Mosaic Snacks"
"976759_2606229_1841035","National Pancake Day","Food/@ Manual Shelves - Food/National Pancake Day"
"976759_2606229_2453624","NYNY Beverages","Food/@ Manual Shelves - Food/NYNY Beverages"
"976759_2606229_9334013","Pop-Tarts","Food/@ Manual Shelves - Food/Pop-Tarts"
"976759_2606229_1821433","Return to School","Food/@ Manual Shelves - Food/Return to School"
"976759_2606229_8588125","Splenda Stevia","Food/@ Manual Shelves - Food/Splenda Stevia"
"976759_2975985","Alcohol","Food/Alcohol"
"976759_2975985_3856625","About Alcohol","Food/Alcohol/About Alcohol"
"976759_2975985_2142284","Alcohol delivery & pickup in Kissimmee, Florida","Food/Alcohol/Alcohol delivery & pickup in Kissimmee, Florida"
