name,retail_price,shortDescription,longDescription,brandName,thumbnailImage,mediumImage,largeImage,color,tag
"Marketside Romaine Spring Mix Salad, 10 Oz.",2.68,"Marketside Romaine Spring Mix Salad, 10 Oz.",Marketside Romaine and Spring Mix 10 Oz.,Marketside,https://i5.walmartimages.com/asr/8790bb27-66cc-4098-9722-c17c78d5aeb9_3.52fa876e646a1588bbe279de33fec666.jpeg?odnHeight=100&odnWidth=100&odnBg=ffffff,https://i5.walmartimages.com/asr/8790bb27-66cc-4098-9722-c17c78d5aeb9_3.52fa876e646a1588bbe279de33fec666.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,https://i5.walmartimages.com/asr/8790bb27-66cc-4098-9722-c17c78d5aeb9_3.52fa876e646a1588bbe279de33fec666.jpeg?odnHeight=450&odnWidth=450&odnBg=ffffff,Clear,produce
"Tomato, Tumbler Hybrid Cherry",,Sun Exposure: full sun Level of Care: easy,"'Tumbler' is the perfect tomato for containers and hanging baskets. Its graceful, cascading determinate vines yield an unbelievable number of sweet, bright red, 1 1/4 inch cherry tomatoes, up to 6 lbs. of fruit per plant. Determinate plant habit. Extra early--harvest in just 50 days. Start seeds indoors. Seeds per packet: 15. Seeds per oz.: 9,000.",,https://i5.walmartimages.com/asr/9af2dc5a-578b-4dc5-be95-afa9806cd3b1_1.2093e4cc1d6668268ab1d07fe03b90d6.jpeg?odnHeight=100&odnWidth=100&odnBg=ffffff,https://i5.walmartimages.com/asr/9af2dc5a-578b-4dc5-be95-afa9806cd3b1_1.2093e4cc1d6668268ab1d07fe03b90d6.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,https://i5.walmartimages.com/asr/9af2dc5a-578b-4dc5-be95-afa9806cd3b1_1.2093e4cc1d6668268ab1d07fe03b90d6.jpeg?odnHeight=450&odnWidth=450&odnBg=ffffff,,produce
"Bruce's Yams, 13.0 OZ",,Bruce's® Yams. Vacuum packed whole sweet potatoes with beta carotene and no added syrup or sugar.It is high in vitamin A. A delicious food for the whole family everyday - not just on holidays. Bruce's® Yams. Vacuum packed whole sweet potatoes with beta carotene and no added syrup or sugar.It is high in vitamin A. A delicious food for the whole family everyday - not just on holidays.,Heart Healthy High in Vitamin A Ready to Eat Bruce's® Yams. No syrup or sugar added. Vacuum packed whole sweet potatoes. Beta carotene. High in Vitamin A. Kosher,Bruce's,https://i5.walmartimages.com/asr/ee5f4476-709a-4e0a-9989-7805f5d675e3_1.afde79710aab54fab74dde94089bf895.jpeg?odnHeight=100&odnWidth=100&odnBg=ffffff,https://i5.walmartimages.com/asr/ee5f4476-709a-4e0a-9989-7805f5d675e3_1.afde79710aab54fab74dde94089bf895.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,https://i5.walmartimages.com/asr/ee5f4476-709a-4e0a-9989-7805f5d675e3_1.afde79710aab54fab74dde94089bf895.jpeg?odnHeight=450&odnWidth=450&odnBg=ffffff,,canned_jarred
Marie Raspberry Vinaigrette 11.5 fl oz Bottle,5.37,Raspberry Vinaigrette,"Gluten-free Made with Extra Virgin Olive Oil Made with Real, Premium Ingredients Refrigerated for Freshness",MARIES,https://i5.walmartimages.com/asr/d96e5970-6e72-4273-9e95-2e59c047abfc.16cf88f22fab8b12c1e33f88419570ba.jpeg?odnHeight=100&odnWidth=100&odnBg=ffffff,https://i5.walmartimages.com/asr/d96e5970-6e72-4273-9e95-2e59c047abfc.16cf88f22fab8b12c1e33f88419570ba.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,https://i5.walmartimages.com/asr/d96e5970-6e72-4273-9e95-2e59c047abfc.16cf88f22fab8b12c1e33f88419570ba.jpeg?odnHeight=450&odnWidth=450&odnBg=ffffff,,condiments_sauces
"Fresh Express Shredded Iceberg, 8 Oz.",1.72,"Iceberg, Shreds, Bag 8 OZ Finely shredded iceberg lettuce for tacos, sandwiches & salads. Guaranteed fresh. Thoroughly washed. Ready to eat. No preservatives. Fruits & veggies - more matters. Why we're so fresh! To guarantee Fresh Express salads are consistently, deliciously fresh, we: Brrr - cool our salads within hours of harvest and keep them chilled from field to store; thoroughly rinse and gently dry; then seal them in our keep-crisp bag to maintain freshness; and deliver fresh salads daily. Fresh Express Promise: Fresh guaranteed! At Fresh Express, we are passionate about delivering the freshest, highest quality salads possible! Our team of food scientists and agricultural experts are committed to exceeding industry standards so we can guarantee the freshest of our salads, every single day. Questions? Comments? Call 1-800-242-5472 or visit www.FreshExpress.com. Slaw shreds - Get delicious recipes & more! Product of USA. Keep refrigerated. Reseal for freshness. 8 oz (226 g) PO Box 80599 Salinas, CA 93912 800-242-5472 2013 Fresh Express Incorporated","Iceberg, ShredsFinely shredded iceberg lettuce for tacos, sandwiches & salads. Guaranteed fresh. Thoroughly washed. Ready to eat. No preservatives. Fruits & veggies - more matters. Why we're so fresh! To guarantee Fresh Express salads are consistently, deliciously fresh, we: Brrr - cool our salads within hours of harvest and keep them chilled from field to store; thoroughly rinse and gently dry; then seal them in our keep-crisp bag to maintain freshness; and deliver fresh salads daily. Fresh Express Promise: Fresh guaranteed! At Fresh Express, we are passionate about delivering the freshest, highest quality salads possible! Our team of food scientists and agricultural experts are committed to exceeding industry standards so we can guarantee the freshest of our salads, every single day. Questions? Comments? Call 1-800-242-5472 or visit www.FreshExpress.com. Slaw shreds - Get delicious recipes & more! Product of USA.",Fresh Express,https://i5.walmartimages.com/asr/4a009f53-dd94-400a-bfbd-dff26604a7eb.9e219dabe36340fa20258c759af24280.jpeg?odnHeight=100&odnWidth=100&odnBg=ffffff,https://i5.walmartimages.com/asr/4a009f53-dd94-400a-bfbd-dff26604a7eb.9e219dabe36340fa20258c759af24280.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,https://i5.walmartimages.com/asr/4a009f53-dd94-400a-bfbd-dff26604a7eb.9e219dabe36340fa20258c759af24280.jpeg?odnHeight=450&odnWidth=450&odnBg=ffffff,,produce
"Fresh Express Hearts of Romaine, 10 oz",2.58,"Salad, Hearts of Romaine, Bag 9 OZ Crunchy and sweet 100% Hearts of Romaine lettuce. Guarantee fresh. Excellent source of vitamin A + vitamin K + folate. Thoroughly washed. Ready to eat. No preservatives. Hearts of Romaine is an excellent source of vitamin A & folate. Vitamin A contributes to the maintenance of normal vision. Folate contributes to normal maternal tissue growth during pregnancy. It is also as an excellent source of vitamin K. Vitamin K helps maintain healthy bones. Low fat diets rich in fruits and vegetables (foods that are low in fat and contain vitamin A, vitamin C and dietary fiber) may reduce the risk of some types of cancer, a disease associated with many factors. Fruits & veggies - more matters. Why we're so fresh! To guarantee Fresh Express salads are consistently, deliciously fresh, we: Brrr - cool our salads within hours of harvest and keep them chilled from field to store; thoroughly rinse and gently dry; then seal them in our keep-crisp bag to maintain freshness; and deliver fresh salads daily. Fresh Express Promise: Fresh guaranteed! At Fresh Express, we are passionate about delivering the freshest, highest quality salads possible! Our team of food scientists and agricultural experts are committed to exceeding industry standards so we can guarantee the freshest of our salads, every single day. Questions? Comments? Call 1-800-242-5472 or visit www.FreshExpress.com. Blends - Get delicious recipes & more! Product of USA. Keep refrigerated. Reseal for freshness. 9 oz (255 g) PO Box 80599 Salinas, CA 93912 800-242-5472 2014 Fresh Express Incorporated","Hearts of Romaine Salad, 10 Oz.",Fresh Express,https://i5.walmartimages.com/asr/38a08701-e409-44c6-bb56-440dc58290f4_1.b247a4369dc9442ae14d4199ca28fd8a.jpeg?odnHeight=100&odnWidth=100&odnBg=ffffff,https://i5.walmartimages.com/asr/38a08701-e409-44c6-bb56-440dc58290f4_1.b247a4369dc9442ae14d4199ca28fd8a.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,https://i5.walmartimages.com/asr/38a08701-e409-44c6-bb56-440dc58290f4_1.b247a4369dc9442ae14d4199ca28fd8a.jpeg?odnHeight=450&odnWidth=450&odnBg=ffffff,,produce
Brandywine Sliced Mushrooms 4.5 Oz Jar,3.67,"These Brandywine Mushrooms are a useful pantry ingredient that you can snack on or add to meals. This food comes packaged in a 4.5-oz glass jar. The sliced kosher mushrooms have zero fat and cholesterol and are low in calories. Manufactured by Giorgio Foods, this food is crafted with quality and care. Bottled in salt and water for canning purposes, these mushrooms could be used as a pizza topping, in lasagna or with beef stew. Put them on top of Alfredo noodles, in soup or with lo mein, and the possibilities are endless. Mushroom slices can be left as is or chopped into smaller pieces and sprinkled on top of food. Cook with marinara sauce to add a depth of flavor, or snack on them right out of the jar.","Brandywine Sliced Mushrooms, 4.5 oz: Kosher Packaged in water and salt Glass jar Fat- and cholesterol-free Canned mushrooms are low in calories",Brandywine,https://i5.walmartimages.com/asr/d190efd5-ddba-434f-a0c1-c99f5169b443_1.c2ba14b2b7edcd7ae7a328b45f528fec.jpeg?odnHeight=100&odnWidth=100&odnBg=ffffff,https://i5.walmartimages.com/asr/d190efd5-ddba-434f-a0c1-c99f5169b443_1.c2ba14b2b7edcd7ae7a328b45f528fec.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,https://i5.walmartimages.com/asr/d190efd5-ddba-434f-a0c1-c99f5169b443_1.c2ba14b2b7edcd7ae7a328b45f528fec.jpeg?odnHeight=450&odnWidth=450&odnBg=ffffff,,canned_jarred
Brandywine Sliced Mushrooms 6 Oz Jar,4.37,Make your favorite meal even better with Brandywine Mushrooms.,"Product Features Kosher Jar - Recyclable 80+% recycled paper Glass recycles Giorgio Foods, Inc., Temple, PA, 19560, U.S.A.",Brandywine,https://i5.walmartimages.com/asr/7a112a34-90ef-4930-8944-560ba26882df_1.d87ccb814f97e91cb71e47ef37ad54f2.jpeg?odnHeight=100&odnWidth=100&odnBg=ffffff,https://i5.walmartimages.com/asr/7a112a34-90ef-4930-8944-560ba26882df_1.d87ccb814f97e91cb71e47ef37ad54f2.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,https://i5.walmartimages.com/asr/7a112a34-90ef-4930-8944-560ba26882df_1.d87ccb814f97e91cb71e47ef37ad54f2.jpeg?odnHeight=450&odnWidth=450&odnBg=ffffff,,canned_jarred
"Fresh Pearl Onions, 8 oz",3.34,"Add flavor to your next meal with Fresh White Pearl Onions. Boil them whole, or add to soups, stews or creamed dishes like creamed peas and onions. Pearl onions make a great addition to salads and may also be pickled or marinated. For easy peeling, trim both ends and blanch in boiling water for 30 seconds. Remove pearl onions from the pot and drop them into cold water. When cooled enough to touch, drain the water, and easily peel off outer skin. Stock your pantry with this ten-ounce bag of Fresh White Pearl Onions.","8-ounces of fresh pearl onions About the size of a large marble and have a mild onion flavor Sheathed in dry, papery skins and can be used as an alternative to your generic onion Add them to soups and stews Use to make creamed dishes like creamed peas and onions",Fresh Produce,https://i5.walmartimages.com/asr/8a75cbec-2b2d-46b6-8cd9-1b931596ef90.d2b61fe22d2729fcec4f46017ab8c5fd.jpeg?odnHeight=100&odnWidth=100&odnBg=ffffff,https://i5.walmartimages.com/asr/8a75cbec-2b2d-46b6-8cd9-1b931596ef90.d2b61fe22d2729fcec4f46017ab8c5fd.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,https://i5.walmartimages.com/asr/8a75cbec-2b2d-46b6-8cd9-1b931596ef90.d2b61fe22d2729fcec4f46017ab8c5fd.jpeg?odnHeight=450&odnWidth=450&odnBg=ffffff,White,produce
"Melissa's Red Pearl Onions, 10 Oz.",2.98,"Onions, Pearl, Red, Bag 10 OZ Ideal for soups & stews! Good life food. For more information visit www.melissas.com. Product of USA. To Peel: Place onions in boiling water for 3 minutes. Rinse in cold water. Cut off ends of each onion and remove skin. To Store: Keep in a cool, dry place. 10 oz (283 g) Los Angeles, CA 90051 800-588-0151","Onions, Pearl, RedIdeal for soups & stews! Good life food. For more information visit www.melissas.com. Product of USA.",Unbranded,https://i5.walmartimages.com/asr/d1981513-5588-4b83-a22a-1326ba716fd5_1.90bbe3e206ab70b693b8e0506366071d.jpeg?odnHeight=100&odnWidth=100&odnBg=ffffff,https://i5.walmartimages.com/asr/d1981513-5588-4b83-a22a-1326ba716fd5_1.90bbe3e206ab70b693b8e0506366071d.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,https://i5.walmartimages.com/asr/d1981513-5588-4b83-a22a-1326ba716fd5_1.90bbe3e206ab70b693b8e0506366071d.jpeg?odnHeight=450&odnWidth=450&odnBg=ffffff,,produce
