item_id,name,msrp,retail_price,upc,shortDescription,longDescription,brandName,thumbnailImage,mediumImage,largeImage,color,customerRating,stock
"51259321","Fresh Greens Trio (collard, mustard & turnip greens), 16 oz","3.5","3.48","736393206056","Fresh Mixed Greens are the perfect addition to your dishes. They are packed full of minerals and nutrients making them an excellent healthy option to add to your meals. They may contain some or all turnip greens, mustard greens, and collard greens. These mixed greens are a versatile ingredient that can be transformed in many ways. Sautee them with a bacon and onions for a delicious side dish or use the mix as a base for the salad with grilled chicken, tomatoes, and sliced cucumbers topped with your favorite dressing for a healthy salad. This bag of mixed greens is pre-washed for your convenience and makes it easy to add them to your meals. Elevate mealtime with Fresh Mixed Greens.","Fresh Mixed Greens, 16 oz Great base for salads Sautee with bacon and onions for a delicious side dish Make a salad with grilled chicken, tomatoes, sliced cucumbers, and your favorite dressing Pre-Washed Good source of vitamins A and C, calcium, and fiber","Fresh Produce","https://i5.walmartimages.com/asr/23078263-4553-4669-88ff-68326a76235b.f1c72f24eaeb9668d5dc7471eed5c482.png?odnHeight=100&odnWidth=100&odnBg=ffffff","https://i5.walmartimages.com/asr/23078263-4553-4669-88ff-68326a76235b.f1c72f24eaeb9668d5dc7471eed5c482.png?odnHeight=180&odnWidth=180&odnBg=ffffff","https://i5.walmartimages.com/asr/23078263-4553-4669-88ff-68326a76235b.f1c72f24eaeb9668d5dc7471eed5c482.png?odnHeight=450&odnWidth=450&odnBg=ffffff","","4.0","Not available"
"100413727","Wisconsin's Best - Large Naturally Smoked Summer Sausage, 12 oz","14.99","12.99","813608012562","Enjoy the authentic taste of Wisconsin's Best Naturally Smoked Summer Sausage, featuring a delicious original flavor. This high-protein, low-carb, and keto-friendly meat snack is perfect for cheese and sausage platters, charcuterie boards, and holiday gatherings. Made with quality pork and beef, this 12-ounce sausage is hickory-smoked for a rich, savory flavor. No refrigeration is required until after opening, making it a convenient and versatile snack option.","Enjoy the delicious and authentic taste of Wisconsin's Best Naturally Smoked Summer Sausage This high-quality sausage is made with a blend of pork and beef, seasoned with a perfect combination of spices and smoked to perfection. The sausage is a great addition to your cheese and sausage snacks, charcuterie boards, or as a keto-friendly meat snack. No refrigeration is required until after opening, making it a convenient and versatile option for your holiday gatherings or everyday snacking.","Wisconsin's Best","https://i5.walmartimages.com/asr/41f01a6f-9b04-42a4-9318-5470c1bed652.83a802e3e229ecb5c1d4c3e61b10ca6e.png?odnHeight=100&odnWidth=100&odnBg=ffffff","https://i5.walmartimages.com/asr/41f01a6f-9b04-42a4-9318-5470c1bed652.83a802e3e229ecb5c1d4c3e61b10ca6e.png?odnHeight=180&odnWidth=180&odnBg=ffffff","https://i5.walmartimages.com/asr/41f01a6f-9b04-42a4-9318-5470c1bed652.83a802e3e229ecb5c1d4c3e61b10ca6e.png?odnHeight=450&odnWidth=450&odnBg=ffffff","","4.7","Available"
"114312457","Farrahs Olde English Clotted Cream Fudge in Tin","","9.99","","This is the original Harrogate Clotted Cream Fudge, traditionally made by highly skilled artisans in North Yorkshire. Lovingly packaged in retro style tin, this royalty endorsed fudge makes for a cute addition to gift baskets and are a great stocking stuffer.Farrah's was established in 1840 by John Farrah. The Original Harrogate Toffee was designed to clear the palate of the putrid taste of Harrogate's Sulphur Water, famous in the 19th century for its healing properties. Original Harrogate Toffee is similar to both a Butterscotch and Barley Sugar. They use three different types of sugar, proper butter and a hint of lemon to give a unique texture and flavor. It is still made in copper pans.","This is the original Harrogate Clotted Cream Fudge, traditionally made by highly skilled artisans in North Yorkshire. Lovingly packaged in retro style tin, this royalty endorsed fudge makes for a cute addition to gift baskets and are a great stocking stuffer.Farrah's was established in 1840 by John Farrah. The Original Harrogate Toffee was designed to clear the palate of the putrid taste of Harrogate's Sulphur Water, famous in the 19th century for its healing properties. Original Harrogate Toffee is similar to both a Butterscotch and Barley Sugar. They use three different types of sugar, proper butter and a hint of lemon to give a unique texture and flavor. It is still made in copper pans.","Farrah's of Harrogate","https://i5.walmartimages.com/asr/82afd44e-37ef-4e85-aac0-c42db14d93be_1.a69889ee43f79cf81479e68822729dcf.jpeg?odnHeight=100&odnWidth=100&odnBg=ffffff","https://i5.walmartimages.com/asr/82afd44e-37ef-4e85-aac0-c42db14d93be_1.a69889ee43f79cf81479e68822729dcf.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff","https://i5.walmartimages.com/asr/82afd44e-37ef-4e85-aac0-c42db14d93be_1.a69889ee43f79cf81479e68822729dcf.jpeg?odnHeight=450&odnWidth=450&odnBg=ffffff","","","Not available"
"137141744","Merchandise","","10.08","851780004012","short description is not available","Merchandise","The Jam Stand","https://i5.walmartimages.com/asr/d513c987-ffd7-408f-be3a-d580fe70e616_1.acc149e546bf8de9b76bf06774a937f4.jpeg?odnHeight=100&odnWidth=100&odnBg=ffffff","https://i5.walmartimages.com/asr/d513c987-ffd7-408f-be3a-d580fe70e616_1.acc149e546bf8de9b76bf06774a937f4.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff","https://i5.walmartimages.com/asr/d513c987-ffd7-408f-be3a-d580fe70e616_1.acc149e546bf8de9b76bf06774a937f4.jpeg?odnHeight=450&odnWidth=450&odnBg=ffffff","","","Not available"
"185760598","FReal Foods F Real Milkshake, 9.5 oz","","2.88","813993001295","FREAL SHK ICE CRM MLK STRWB TUB","Milkshake, Classic, Strawberry Natural and artificial flavors. Made with real strawberry ice cream & milk. Shake it up baby with an honest-to-goodness classic real strawberry ice cream milkshake. So rich, so thick, so incredibly creamy, it'll spin your whirled! Real ice cream, real milkshakes, f'Real! good.","f'real","https://i5.walmartimages.com/asr/679d1922-c388-4258-8457-38c6dd20465c_1.91366062de031ebfe00772e3c955bd41.jpeg?odnHeight=100&odnWidth=100&odnBg=ffffff","https://i5.walmartimages.com/asr/679d1922-c388-4258-8457-38c6dd20465c_1.91366062de031ebfe00772e3c955bd41.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff","https://i5.walmartimages.com/asr/679d1922-c388-4258-8457-38c6dd20465c_1.91366062de031ebfe00772e3c955bd41.jpeg?odnHeight=450&odnWidth=450&odnBg=ffffff","","","Not available"
"186592377","Pure Living - Liv Organic Sprouted Amaranth Flour - 1.5 lb.","","20.99","037247402014","Pure Living Sprouted Amaranth Flour - 1.5 lb. (24 oz) (680 g)Pure Living Sprouted Whole Grain Amaranth Flour is a great source of amino acids, iron and calcium. Providing a nutty taste and added texture, this flour is a high protein option that is great for bread baking either on its own or mixed with other gluten-free flours. Substitute up to 60-80% of the total flour in your recipe.","A great source of Amino Acids‚ Iron‚ and Calcium! Sprouted Grains‚ made from organic whole grains‚ are considered to be an essential part of a healthy‚ nourishing lifestyle. These raw‚ sprouted products provide beneficial nutrients with the flavorsome taste of organic whole grains. These statements have not been evaluated by the Food and Drug Administration (FDA). These products are not meant to diagnose? treat or cure any disease or medical condition. Please consult your doctor before starting any exercise or nutritional supplement program or before using these or any product during pregnancy or if you have a serious medical condition.","Pure Living","https://i5.walmartimages.com/asr/2bf0e86a-0178-4086-b173-4737e66de377.c83c426fcbd9eb1de7f6762eb39c70ef.jpeg?odnHeight=100&odnWidth=100&odnBg=ffffff","https://i5.walmartimages.com/asr/2bf0e86a-0178-4086-b173-4737e66de377.c83c426fcbd9eb1de7f6762eb39c70ef.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff","https://i5.walmartimages.com/asr/2bf0e86a-0178-4086-b173-4737e66de377.c83c426fcbd9eb1de7f6762eb39c70ef.jpeg?odnHeight=450&odnWidth=450&odnBg=ffffff","","","Not available"
"187776590","Merchandise","0.5","","077260067418","short description is not available","Dark Chocolate & Raspberry Cream, Pumpkin Naturally flavored. Guarantee of Quality and Freshness: We guarantee the quality and freshness of every Russell Stover product. If you are not fully satisfied for any reason, we will gladly replace it. Save the unused portion with its packaging and call our consumer information number 1-800-777-4028 Mon.-Fri. 8 am to 4:30 pm cst. Shop our website at www.russellstover.com or call our mail order number at 1-800-477-8683. Made with 100% real chocolate. Candy proudly made in America.","ONLINE","https://i5.walmartimages.com/asr/15334785-ee5b-40d9-82b5-aab58fbefef3_1.20b726707c3988de735cb46aded3ced7.jpeg?odnHeight=100&odnWidth=100&odnBg=ffffff","https://i5.walmartimages.com/asr/15334785-ee5b-40d9-82b5-aab58fbefef3_1.20b726707c3988de735cb46aded3ced7.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff","https://i5.walmartimages.com/asr/15334785-ee5b-40d9-82b5-aab58fbefef3_1.20b726707c3988de735cb46aded3ced7.jpeg?odnHeight=450&odnWidth=450&odnBg=ffffff","","","Not available"
"208084193","coming soon","29.99","1.42","748229990053","coming soon","None None None","coming soon","https://i5.walmartimages.com/asr/c110c2d7-1229-4204-b85c-d1fb7cd15aba.1a39518c9765ef8213f6848a51019b7b.jpeg?odnHeight=100&odnWidth=100&odnBg=ffffff","https://i5.walmartimages.com/asr/c110c2d7-1229-4204-b85c-d1fb7cd15aba.1a39518c9765ef8213f6848a51019b7b.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff","https://i5.walmartimages.com/asr/c110c2d7-1229-4204-b85c-d1fb7cd15aba.1a39518c9765ef8213f6848a51019b7b.jpeg?odnHeight=450&odnWidth=450&odnBg=ffffff","","","Not available"
"208132928","Celebakes Isomalt Crystals with Protective Gloves for Sugar Work (With Medium Gloves)","","40.99","","This set of isomalt crystals with protective gloves is perfect for making beautiful sugar work pieces.","Isomalt is a reduced-calorie sweetener used for making hard candy Can be used to make edible gems, pulled sugar, blown sugar, and as a sugar substitute in baking High resistance to humidity and will not crystallize. If no color is added, the candy hardens clear. This glove pack will protect your hands from melted isomalt and other food mediums while preventing fingerprints on your finished work. The cotton layer, worn next to the skin, insulates your hands from hot liquids, while the outer latex-free gloves provide another layer of protection while giving your pieces a finished look.","Celebakes","https://i5.walmartimages.com/asr/8cc4993f-3c0d-4f6b-b6a0-85ca55c63c25.5f954c05b2de96b24ca7c5ec10913ef9.jpeg?odnHeight=100&odnWidth=100&odnBg=ffffff","https://i5.walmartimages.com/asr/8cc4993f-3c0d-4f6b-b6a0-85ca55c63c25.5f954c05b2de96b24ca7c5ec10913ef9.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff","https://i5.walmartimages.com/asr/8cc4993f-3c0d-4f6b-b6a0-85ca55c63c25.5f954c05b2de96b24ca7c5ec10913ef9.jpeg?odnHeight=450&odnWidth=450&odnBg=ffffff","White","0.0","Last Few Items"
"275300858","coming soon","17.99","3.38","","short description is not available","coming soon","Sea Roll Farm","https://i5.walmartimages.com/asr/71c0e9cb-d81e-4667-9194-5451059bd24e.1556df65c0fd2baa713e51fb13d3c520.jpeg?odnHeight=100&odnWidth=100&odnBg=ffffff","https://i5.walmartimages.com/asr/71c0e9cb-d81e-4667-9194-5451059bd24e.1556df65c0fd2baa713e51fb13d3c520.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff","https://i5.walmartimages.com/asr/71c0e9cb-d81e-4667-9194-5451059bd24e.1556df65c0fd2baa713e51fb13d3c520.jpeg?odnHeight=450&odnWidth=450&odnBg=ffffff","","","Not available"
