id,name,path
"1334134","Arts Crafts & Sewing","Arts Crafts & Sewing"
"1334134_5899871","Art Supplies","Arts Crafts & Sewing/Art Supplies"
"1334134_5899871_4519281","Art Aprons","Arts Crafts & Sewing/Art Supplies/Art Aprons"
"1334134_5899871_9862357","Art Markers & Pens","Arts Crafts & Sewing/Art Supplies/Art Markers & Pens"
"1334134_5899871_7445675","Art Painting Supplies","Arts Crafts & Sewing/Art Supplies/Art Painting Supplies"
"1334134_5899871_8703361","Art Pencils","Arts Crafts & Sewing/Art Supplies/Art Pencils"
"1334134_5899871_7148292","Art Sets","Arts Crafts & Sewing/Art Supplies/Art Sets"
"1334134_5899871_7553530","Art Tools & Accessories","Arts Crafts & Sewing/Art Supplies/Art Tools & Accessories"
"1334134_5899871_8268066","Art, Drawing & Sidewalk Chalk","Arts Crafts & Sewing/Art Supplies/Art, Drawing & Sidewalk Chalk"
"1334134_5899871_2182173","Arteza","Arts Crafts & Sewing/Art Supplies/Arteza"
"1334134_5899871_2240863","Bob Ross Painting Kits","Arts Crafts & Sewing/Art Supplies/Bob Ross Painting Kits"
"1334134_5899871_6883794","Ceramic & Pottery Supplies","Arts Crafts & Sewing/Art Supplies/Ceramic & Pottery Supplies"
"1334134_5899871_1350721","Drawing Supplies","Arts Crafts & Sewing/Art Supplies/Drawing Supplies"
"1334134_5899871_6153803","Shop all Art Canvas Boards & Painting Surfaces","Arts Crafts & Sewing/Art Supplies/Shop all Art Canvas Boards & Painting Surfaces"
"1334134_5899871_3421257","Shop Art Supplies","Arts Crafts & Sewing/Art Supplies/Shop Art Supplies"
"1334134_5899871_9677556","Sketchbooks & Art Paper","Arts Crafts & Sewing/Art Supplies/Sketchbooks & Art Paper"
"1334134_6355365","Arts & Crafts Furniture and Storage","Arts Crafts & Sewing/Arts & Crafts Furniture and Storage"
"1334134_6355365_7822137","Art Portfolio & Poster Storage","Arts Crafts & Sewing/Arts & Crafts Furniture and Storage/Art Portfolio & Poster Storage"
"1334134_6355365_8733351","Artist Easels","Arts Crafts & Sewing/Arts & Crafts Furniture and Storage/Artist Easels"
"1334134_6355365_1285843","Craft Storage","Arts Crafts & Sewing/Arts & Crafts Furniture and Storage/Craft Storage"
"1334134_6355365_7824980","Craft Tables & Craft Furniture","Arts Crafts & Sewing/Arts & Crafts Furniture and Storage/Craft Tables & Craft Furniture"
"1334134_6355365_5190638","Drafting Tables","Arts Crafts & Sewing/Arts & Crafts Furniture and Storage/Drafting Tables"
"1334134_6355365_7766020","Sewing Tables & Sewing Storage","Arts Crafts & Sewing/Arts & Crafts Furniture and Storage/Sewing Tables & Sewing Storage"
"1334134_6355365_9682755","Specialty Craft Storage and Organizers","Arts Crafts & Sewing/Arts & Crafts Furniture and Storage/Specialty Craft Storage and Organizers"
"1334134_4533160","Beading & Jewelry Making","Arts Crafts & Sewing/Beading & Jewelry Making"
"1334134_4533160_6262436","All Beading and Jewelry Making","Arts Crafts & Sewing/Beading & Jewelry Making/All Beading and Jewelry Making"
"1334134_4533160_6862723","Beading Findings and Components","Arts Crafts & Sewing/Beading & Jewelry Making/Beading Findings and Components"
"1334134_4533160_9799323","Beading Supplies","Arts Crafts & Sewing/Beading & Jewelry Making/Beading Supplies"
"1334134_4533160_3653829","Beading Tools","Arts Crafts & Sewing/Beading & Jewelry Making/Beading Tools"
"1334134_4533160_1043543","Beads","Arts Crafts & Sewing/Beading & Jewelry Making/Beads"
"1334134_4533160_4343786","Gemstones","Arts Crafts & Sewing/Beading & Jewelry Making/Gemstones"
