id,name
"1229749","Office Supplies"
"91083","Auto & Tires"
"4044","Home"
"2637","Party & Occasions"
"3944","Electronics"
"4171","Toys"
"3920","Books"
"5440","Pets"
"5433","Walmart MoneyCenter"
"5436","Help"
"1094765","Gifts & Registry"
"1005862","Personal Care"
"1085632","Seasonal"
"1115193","Household Essentials"
"5984018","Shop by TV Show"
"5920738","Shop by Movie"
"6735581","Walmart for Business"
"3734780","Shop by Brand"
"5324366","Shop by Video Game"
"6914230","Miscellaneous"
"9804697","View In Your Home"
"2636","Video Games"
"5428","Patio & Garden"
"3891","Jewelry"
"1072864","Home Improvement"
"1334134","Arts Crafts & Sewing"
"5427","Baby"
"5434","Gift Registry"
"5426","Photo Center"
"5431","Pharmacy"
"1085666","Beauty"
"1105910","Cell Phones"
"976759","Food"
"8932632","Ideas"
"5967908","Collectibles"
"7924299","Premium Beauty"
"9748312","Personalized Gifts"
"4191733","Subscriptions"
"6957270","Kids"
"0","Home Page"
"4096","Movies & TV Shows"
"4104","Music"
"4125","Sports & Outdoors"
"976760","Health and Medicine"
"14503","Feature"
"5438","Clothing"
"7796869","Musical Instruments"
"6163033","Services"
"5939293","Character Shop"
"6197502","Industrial & Scientific"
"3625709","Shop by Seller"
"2593086","New Arrivals"
